T&D :- 11/02/2023 11:05:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 2 | 10689.14
T&D :- 11/02/2023 11:06:02 | EURJPY-OTC |  | WIN | put | 1 | Counter :- 2 | 10689.49
T&D :- 11/02/2023 11:07:02 | EURJPY-OTC |  | LOSS | put | 5 | Counter :- 3 | 10679.49
T&D :- 11/02/2023 11:08:01 | EURJPY-OTC |  | LOSS | call | 12 | Counter :- 4 | 10655.49
T&D :- 11/02/2023 11:09:02 | EURJPY-OTC |  | LOSS | put | 30 | Counter :- 5 | 10647.2
T&D :- 11/02/2023 11:10:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 5 | 10694.85
T&D :- 11/02/2023 11:11:02 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 5 | 10690.66
T&D :- 11/02/2023 11:23:02 | EURJPY-OTC |  | WIN | put | 1 | Counter :- 1 | 10576.32
T&D :- 11/02/2023 11:24:02 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 1 | 10688.3
T&D :- 11/02/2023 11:25:01 | EURJPY-OTC |  | WIN | put | 15 | Counter :- 1 | 10687.22
T&D :- 11/02/2023 11:26:02 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 1 | 10714.06
T&D :- 11/02/2023 11:27:03 | EURJPY-OTC |  | WIN | put | 9 | Counter :- 1 | 10715.88
T&D :- 11/02/2023 11:28:02 | EURJPY-OTC |  | WIN | put | 8 | Counter :- 1 | 10728.83
T&D :- 11/02/2023 11:29:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 2 | 10718.83
T&D :- 11/02/2023 11:30:02 | EURJPY-OTC |  | LOSS | call | 12 | Counter :- 3 | 10694.83
T&D :- 11/02/2023 11:31:02 | EURJPY-OTC |  | LOSS | put | 30 | Counter :- 4 | 10686.53
T&D :- 11/02/2023 11:32:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 4 | 10737.3
T&D :- 11/02/2023 11:33:02 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 4 | 10737.65
T&D :- 11/02/2023 11:34:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 5 | 10724.54
T&D :- 11/02/2023 11:35:02 | EURJPY-OTC |  | WIN | put | 1 | Counter :- 5 | 10736.92
T&D :- 11/02/2023 11:36:01 | EURJPY-OTC |  | LOSS | put | 5 | Counter :- 1 | 10731.92
T&D :- 11/02/2023 11:37:03 | EURJPY-OTC |  | WIN | put | 1 | Counter :- 1 | 10743.84
T&D :- 11/02/2023 11:38:02 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 1 | 10727.63
T&D :- 11/02/2023 11:39:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 2 | 10717.63
T&D :- 11/02/2023 11:40:02 | EURJPY-OTC |  | LOSS | call | 12 | Counter :- 3 | 10714.09
T&D :- 11/02/2023 11:41:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 3 | 10730.79
T&D :- 11/02/2023 11:42:02 | EURJPY-OTC |  | LOSS | put | 5 | Counter :- 4 | 10713.79
T&D :- 11/02/2023 11:43:02 | EURJPY-OTC |  | LOSS | call | 12 | Counter :- 5 | 10671.79
T&D :- 11/02/2023 11:44:02 | EURJPY-OTC |  | LOSS | call | 30 | Counter :- 1 | 10577.79
T&D :- 11/02/2023 11:45:01 | EURJPY-OTC |  | LOSS | put | 64 | Counter :- 2 | 10633.89
T&D :- 11/02/2023 11:46:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 2 | 10748.98
T&D :- 11/02/2023 11:47:03 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 3 | 10752.44
T&D :- 11/02/2023 11:48:02 | EURJPY-OTC |  | LOSS | put | 12 | Counter :- 4 | 10732.33
T&D :- 11/02/2023 11:49:02 | EURJPY-OTC |  | LOSS | call | 30 | Counter :- 5 | 10706.25
T&D :- 11/02/2023 11:50:02 | EURJPY-OTC |  | WIN | put | 1 | Counter :- 5 | 10757.02
T&D :- 11/02/2023 11:51:02 | EURJPY-OTC |  | WIN | call | 10 | Counter :- 5 | 10757.37
T&D :- 11/02/2023 11:52:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 1 | 10747.37
T&D :- 11/02/2023 11:53:01 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 1 | 10743.83
T&D :- 11/02/2023 11:54:01 | EURJPY-OTC |  | WIN | call | 10 | Counter :- 1 | 10705.72
T&D :- 11/02/2023 11:55:02 | EURJPY-OTC |  | WIN | call | 15 | Counter :- 1 | 10765.41
T&D :- 11/02/2023 11:56:02 | EURJPY-OTC |  | LOSS | put | 5 | Counter :- 2 | 10755.41
T&D :- 11/02/2023 11:57:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 2 | 10751.87
T&D :- 11/02/2023 11:58:02 | EURJPY-OTC |  | LOSS | call | 5 | Counter :- 3 | 10716.87
T&D :- 11/02/2023 11:59:02 | EURJPY-OTC |  | LOSS | put | 12 | Counter :- 4 | 10640.87
T&D :- 11/02/2023 12:00:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 4 | 10538.57
T&D :- 11/02/2023 12:01:01 | EURJPY-OTC |  | WIN | put | 10 | Counter :- 4 | 10280.46
T&D :- 11/02/2023 12:02:03 | EURJPY-OTC |  | WIN | call | 15 | Counter :- 4 | 9784.38
T&D :- 11/02/2023 12:03:02 | EURJPY-OTC |  | LOSS | put | 1 | Counter :- 5 | 9782.38
T&D :- 11/02/2023 12:04:02 | EURJPY-OTC |  | LOSS | put | 1 | Counter :- 1 | 9780.38
T&D :- 11/02/2023 12:05:02 | EURJPY-OTC |  | LOSS | call | 1 | Counter :- 2 | 8910.42
T&D :- 11/02/2023 12:06:02 | EURJPY-OTC |  | LOSS | call | 1 | Counter :- 3 | 8908.42
T&D :- 11/02/2023 12:07:02 | EURJPY-OTC |  | WIN | call | 2072.784000000002 | Counter :- 3 | 4924.49
T&D :- 11/02/2023 12:08:01 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 3 | 8845.62
T&D :- 11/02/2023 12:09:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 3 | 8844.52
T&D :- 11/02/2023 12:10:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 3 | 8844.41
T&D :- 11/02/2023 12:11:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 3 | 6855.43
T&D :- 11/02/2023 12:12:02 | EURJPY-OTC |  | LOSS | put | 1 | Counter :- 4 | 6853.43
T&D :- 11/02/2023 12:13:02 | EURJPY-OTC |  | LOSS | call | 1 | Counter :- 5 | 2471.12
T&D :- 11/02/2023 12:14:01 | EURJPY-OTC |  | WIN | put | 9799.824 | Counter :- 5 | 2472.01
T&D :- 11/02/2023 15:48:03 | EURJPY-OTC |  | WIN | put | 2 | Counter :- 1 | 2659.79
T&D :- 11/02/2023 15:49:03 | EURJPY-OTC |  | WIN | put | 2 | Counter :- 1 | 2661.57
T&D :- 11/02/2023 15:50:03 | EURJPY-OTC |  | WIN | put | 2 | Counter :- 1 | 2663.35
T&D :- 11/02/2023 15:51:03 | EURJPY-OTC |  | WIN | put | 2 | Counter :- 1 | 2665.14
T&D :- 11/02/2023 15:52:03 | EURJPY-OTC |  | WIN | put | 2 | Counter :- 1 | 2666.92
T&D :- 11/02/2023 15:55:03 | EURJPY-OTC |  | LOSS | call | 1 | Counter :- 2 | 2667.71
T&D :- 11/02/2023 15:56:03 | EURJPY-OTC |  | WIN | put | 3 | Counter :- 2 | 2666.6
T&D :- 11/02/2023 15:57:02 | EURJPY-OTC |  | WIN | call | 1 | Counter :- 2 | 2671.28
T&D :- 11/02/2023 15:58:02 | EURJPY-OTC |  | LOSS | call | 1 | Counter :- 3 | 2670.28
T&D :- 11/02/2023 15:59:02 | EURJPY-OTC |  | LOSS | put | 2 | Counter :- 4 | 2668.28
T&D :- 11/02/2023 16:00:03 | EURJPY-OTC |  | WIN | call | 5 | Counter :- 4 | 2667.06
T&D :- 11/02/2023 16:01:03 | EURJPY-OTC |  | LOSS | put | 8 | Counter :- 5 | 2659.06
T&D :- 11/02/2023 16:02:03 | EURJPY-OTC |  | LOSS | put | 13 | Counter :- 1 | 2646.06
T&D :- 11/02/2023 16:03:03 | EURJPY-OTC |  | LOSS | call | 21 | Counter :- 2 | 2625.06
T&D :- 11/02/2023 16:04:02 | EURJPY-OTC |  | LOSS | call | 34 | Counter :- 3 | 2591.06
T&D :- 11/02/2023 16:05:03 | EURJPY-OTC |  | LOSS | put | 55 | Counter :- 4 | 2536.06
T&D :- 11/02/2023 16:06:02 | EURJPY-OTC |  | LOSS | call | 89 | Counter :- 5 | 2447.06
T&D :- 11/02/2023 16:07:03 | EURJPY-OTC |  | LOSS | call | 144 | Counter :- 1 | 2303.06
T&D :- 11/02/2023 16:08:02 | EURJPY-OTC |  | WIN | call | 377 | Counter :- 1 | 2198.54
T&D :- 11/02/2023 16:09:03 | EURJPY-OTC |  | LOSS | put | 610 | Counter :- 2 | 1588.54
T&D :- 11/02/2023 16:10:03 | EURJPY-OTC |  | LOSS | put | 987 | Counter :- 3 | 601.54
T&D :- 11/02/2023 16:11:03 | EURJPY-OTC |  | WIN | put | 2584 | Counter :- 3 | 2469.04
