T&D :- 22/02/2023 17:45:06 | EURJPY |  | WIN | put | 1 | Counter :- 2 | 10481.53
T&D :- 22/02/2023 17:46:04 | EURJPY |  | LOSS | put | 2 | Counter :- 3 | 10479.53
T&D :- 22/02/2023 17:47:04 | EURJPY |  | WIN | put | 1 | Counter :- 4 | 10482.32
T&D :- 22/02/2023 17:48:04 | EURJPY |  | WIN | put | 1 | Counter :- 5 | 10483.21
T&D :- 22/02/2023 17:49:04 | EURJPY |  | LOSS | put | 2 | Counter :- 6 | 10481.21
T&D :- 22/02/2023 17:50:05 | EURJPY |  | LOSS | put | 5 | Counter :- 7 | 10476.21
T&D :- 22/02/2023 17:51:04 | EURJPY |  | WIN | put | 1 | Counter :- 8 | 10484.67
T&D :- 22/02/2023 17:52:04 | EURJPY |  | LOSS | put | 2 | Counter :- 9 | 10482.67
T&D :- 22/02/2023 17:53:04 | EURJPY |  | WIN | put | 1 | Counter :- 10 | 10485.45
T&D :- 22/02/2023 17:54:05 | EURJPY |  | LOSS | put | 2 | Counter :- 11 | 10483.45
T&D :- 27/02/2023 11:36:02 | EURJPY |  | LOSS | put | 33 | Counter :- 2 | 1407.75
T&D :- 27/02/2023 11:41:03 | EURJPY |  | LOSS | put | 8 | Counter :- 2 | 1457.18
T&D :- 27/02/2023 11:42:03 | EURJPY |  | LOSS | put | 15 | Counter :- 3 | 1442.18
T&D :- 27/02/2023 11:43:02 | EURJPY |  | WIN | put | 5 | Counter :- 4 | 1465.56
T&D :- 27/02/2023 11:44:02 | EURJPY |  | LOSS | put | 8 | Counter :- 5 | 1457.56
T&D :- 27/02/2023 11:45:03 | EURJPY |  | LOSS | put | 15 | Counter :- 6 | 1442.56
T&D :- 27/02/2023 11:46:03 | EURJPY |  | LOSS | put | 33 | Counter :- 7 | 1409.56
T&D :- 27/02/2023 11:47:02 | EURJPY |  | LOSS | put | 72 | Counter :- 8 | 1337.56
T&D :- 27/02/2023 11:48:03 | EURJPY |  | WIN | put | 5 | Counter :- 9 | 1468.79
T&D :- 27/02/2023 11:49:03 | EURJPY |  | WIN | put | 5 | Counter :- 10 | 1473.25
T&D :- 27/02/2023 11:50:03 | EURJPY |  | LOSS | put | 8 | Counter :- 11 | 1465.25
T&D :- 27/02/2023 11:51:04 | EURJPY |  | WIN | put | 5 | Counter :- 12 | 1475.38
T&D :- 27/02/2023 11:52:03 | EURJPY |  | WIN | put | 5 | Counter :- 13 | 1479.84
T&D :- 27/02/2023 12:37:03 | EURJPY |  | WIN | put | 8 | Counter :- 2 | 1488.42
T&D :- 27/02/2023 12:38:03 | EURJPY |  | LOSS | put | 15 | Counter :- 3 | 1473.42
T&D :- 27/02/2023 12:39:02 | EURJPY |  | WIN | put | 8 | Counter :- 4 | 1493.8
T&D :- 01/03/2023 10:41:03 | EURJPY |  | WIN | put | 8 | Counter :- 2 | 1524.31
T&D :- 01/03/2023 10:42:04 | EURJPY |  | WIN | put | 8 | Counter :- 3 | 1531.45
T&D :- 01/03/2023 10:43:04 | EURJPY |  | LOSS | put | 15 | Counter :- 4 | 1516.45
T&D :- 01/03/2023 10:44:04 | EURJPY |  | LOSS | put | 33 | Counter :- 5 | 1483.45
T&D :- 01/03/2023 11:54:04 | EURJPY |  | LOSS | put | 15 | Counter :- 2 | 1530.01
T&D :- 01/03/2023 11:55:04 | EURJPY |  | WIN | put | 8 | Counter :- 3 | 1550.39
T&D :- 01/03/2023 11:56:04 | EURJPY |  | LOSS | put | 15 | Counter :- 4 | 1535.39
T&D :- 01/03/2023 11:57:04 | EURJPY |  | LOSS | put | 33 | Counter :- 5 | 1502.39
T&D :- 01/03/2023 11:58:04 | EURJPY |  | LOSS | put | 72 | Counter :- 6 | 1430.39
T&D :- 02/03/2023 13:57:01 | EURJPY |  | LOSS | put | 8 | Counter :- 2 | 1670.49
T&D :- 02/03/2023 13:58:01 | EURJPY |  | WIN | put | 4 | Counter :- 3 | 1681.62
T&D :- 02/03/2023 13:59:01 | EURJPY |  | WIN | put | 4 | Counter :- 4 | 1685.19
